path,filename,group,elements,unique_elements_count
dataset/binary_reactions/2Fe3O4-3Y2O3_1000C_60min.xrdml,2Fe3O4-3Y2O3_1000C_60min.xrdml,dataset,Fe;O;Y,3
dataset/binary_reactions/2FeC2O4(H2O)2-Y2O3_200C_60min.xrdml,2FeC2O4(H2O)2-Y2O3_200C_60min.xrdml,dataset,C;Fe;H;O;Y,5
dataset/binary_reactions/Bi2O3-2MoO3_400C_60min.xrdml,Bi2O3-2MoO3_400C_60min.xrdml,dataset,Bi;Mo;O,3
dataset/binary_reactions/Bi2O3-Nb2O5_500C_60min.xrdml,Bi2O3-Nb2O5_500C_60min.xrdml,dataset,Bi;Nb;O,3
dataset/binary_reactions/Bi2O3-V2O5_400C_60min.xrdml,Bi2O3-V2O5_400C_60min.xrdml,dataset,Bi;O;V,3
dataset/binary_reactions/CaCO3-NH4H2PO4_200C_60min.xrdml,CaCO3-NH4H2PO4_200C_60min.xrdml,dataset,C;Ca;H;N;O;P,6
dataset/binary_reactions/CoO-WO3_900C_60min.xrdml,CoO-WO3_900C_60min.xrdml,dataset,Co;O;W,3
dataset/binary_reactions/CoO-ZnO_1100C_60min.xrdml,CoO-ZnO_1100C_60min.xrdml,dataset,Co;O;Zn,3
dataset/binary_reactions/Cr2O3-2MnO_1100C_60min.xrdml,Cr2O3-2MnO_1100C_60min.xrdml,dataset,Cr;Mn;O,3
dataset/binary_reactions/Cr2O3-2PbO_500C_60min.xrdml,Cr2O3-2PbO_500C_60min.xrdml,dataset,Cr;O;Pb,3
dataset/binary_reactions/Cr2O3-2ZnO_1100C_60min.xrdml,Cr2O3-2ZnO_1100C_60min.xrdml,dataset,Cr;O;Zn,3
dataset/binary_reactions/Cr2O3-V2O5_400C_60min.xrdml,Cr2O3-V2O5_400C_60min.xrdml,dataset,Cr;O;V,3
dataset/binary_reactions/CuO-MnO_800C_60min.xrdml,CuO-MnO_800C_60min.xrdml,dataset,Cu;Mn;O,3
dataset/binary_reactions/Fe2O3-2TiO2_1000C_60min.xrdml,Fe2O3-2TiO2_1000C_60min.xrdml,dataset,Fe;O;Ti,3
dataset/binary_reactions/Fe2O3-Nb2O5_900C_60min.xrdml,Fe2O3-Nb2O5_900C_60min.xrdml,dataset,Fe;Nb;O,3
dataset/binary_reactions/Fe3O4-3SrCO3_900C_60min.xrdml,Fe3O4-3SrCO3_900C_60min.xrdml,dataset,C;Fe;O;Sr,4
dataset/binary_reactions/Fe3O4-3ZnO_1000C_60min.xrdml,Fe3O4-3ZnO_1000C_60min.xrdml,dataset,Fe;O;Zn,3
dataset/binary_reactions/GeO2-ZnO_700C_60min.xrdml,GeO2-ZnO_700C_60min.xrdml,dataset,Ge;O;Zn,3
dataset/binary_reactions/NH4H2PO4-Na2CO3_200C_60min.xrdml,NH4H2PO4-Na2CO3_200C_60min.xrdml,dataset,C;H;N;Na;O;P,6
dataset/binary_reactions/V2O5-2ZnO_400C_60min.xrdml,V2O5-2ZnO_400C_60min.xrdml,dataset,O;V;Zn,3
dataset/precursor_mixture/In2O3_0p3022-La(OH)3_0p5014-TiO2_0p2004--2min.xrdml,In2O3_0p3022-La(OH)3_0p5014-TiO2_0p2004--2min.xrdml,dataset,H;In;La;O;Ti,5
dataset/precursor_mixture/In2O3_0p3022-La(OH)3_0p5014-TiO2_0p2004--8min.xrdml,In2O3_0p3022-La(OH)3_0p5014-TiO2_0p2004--8min.xrdml,dataset,H;In;La;O;Ti,5
dataset/precursor_mixture/In2O3_0p5002-MnCO3_0p5000--2min.xrdml,In2O3_0p5002-MnCO3_0p5000--2min.xrdml,dataset,C;In;Mn;O,4
dataset/precursor_mixture/In2O3_0p5002-MnCO3_0p5000--8min.xrdml,In2O3_0p5002-MnCO3_0p5000--8min.xrdml,dataset,C;In;Mn;O,4
dataset/precursor_mixture/Li2CO3_0p9001-ZrO2_0p1000--2min.xrdml,Li2CO3_0p9001-ZrO2_0p1000--2min.xrdml,dataset,C;Li;O;Zr,4
dataset/precursor_mixture/Li2CO3_0p9001-ZrO2_0p1000--8min.xrdml,Li2CO3_0p9001-ZrO2_0p1000--8min.xrdml,dataset,C;Li;O;Zr,4
dataset/precursor_mixture/NiO_0p1031-La(OH)3_0p2025-TiO2_0p7014--2min.xrdml,NiO_0p1031-La(OH)3_0p2025-TiO2_0p7014--2min.xrdml,dataset,H;La;Ni;O;Ti,5
dataset/precursor_mixture/NiO_0p1031-La(OH)3_0p2025-TiO2_0p7014--8min.xrdml,NiO_0p1031-La(OH)3_0p2025-TiO2_0p7014--8min.xrdml,dataset,H;La;Ni;O;Ti,5
dataset/precursor_mixture/NiO_0p2030-Li2CO3_0p2999-TiO2_0p5025--2min.xrdml,NiO_0p2030-Li2CO3_0p2999-TiO2_0p5025--2min.xrdml,dataset,C;Li;Ni;O;Ti,5
dataset/precursor_mixture/NiO_0p2030-Li2CO3_0p2999-TiO2_0p5025--8min.xrdml,NiO_0p2030-Li2CO3_0p2999-TiO2_0p5025--8min.xrdml,dataset,C;Li;Ni;O;Ti,5
dataset/precursor_mixture/NiO_0p3035-Bi2O3_0p3016-Li2CO3_0p3997--2min.xrdml,NiO_0p3035-Bi2O3_0p3016-Li2CO3_0p3997--2min.xrdml,dataset,Bi;C;Li;Ni;O,5
dataset/precursor_mixture/NiO_0p3035-Bi2O3_0p3016-Li2CO3_0p3997--8min.xrdml,NiO_0p3035-Bi2O3_0p3016-Li2CO3_0p3997--8min.xrdml,dataset,Bi;C;Li;Ni;O,5
dataset/precursor_mixture/NiO_0p6007-Bi2O3_0p4008--2min.xrdml,NiO_0p6007-Bi2O3_0p4008--2min.xrdml,dataset,Bi;Ni;O,3
dataset/precursor_mixture/NiO_0p6007-Bi2O3_0p4008--8min.xrdml,NiO_0p6007-Bi2O3_0p4008--8min.xrdml,dataset,Bi;Ni;O,3
dataset/precursor_mixture/NiO_0p7028-La(OH)3_0p1010-ZnO_0p2000--2min.xrdml,NiO_0p7028-La(OH)3_0p1010-ZnO_0p2000--2min.xrdml,dataset,H;La;Ni;O;Zn,5
dataset/precursor_mixture/NiO_0p7028-La(OH)3_0p1010-ZnO_0p2000--8min.xrdml,NiO_0p7028-La(OH)3_0p1010-ZnO_0p2000--8min.xrdml,dataset,H;La;Ni;O;Zn,5
dataset/precursor_mixture/TiO2_0p4009-ZnO_0p6010--2min.xrdml,TiO2_0p4009-ZnO_0p6010--2min.xrdml,dataset,O;Ti;Zn,3
dataset/precursor_mixture/TiO2_0p4009-ZnO_0p6010--8min.xrdml,TiO2_0p4009-ZnO_0p6010--8min.xrdml,dataset,O;Ti;Zn,3
dataset/precursor_mixture/V2O5_0p1012-In2O3_0p2008-TiO2_0p7001--2min.xrdml,V2O5_0p1012-In2O3_0p2008-TiO2_0p7001--2min.xrdml,dataset,In;O;Ti;V,4
dataset/precursor_mixture/V2O5_0p1012-In2O3_0p2008-TiO2_0p7001--8min.xrdml,V2O5_0p1012-In2O3_0p2008-TiO2_0p7001--8min.xrdml,dataset,In;O;Ti;V,4
dataset/precursor_mixture/V2O5_0p2012-La(OH)3_0p5004-MnCO3_0p3013--2min.xrdml,V2O5_0p2012-La(OH)3_0p5004-MnCO3_0p3013--2min.xrdml,dataset,C;H;La;Mn;O;V,6
dataset/precursor_mixture/V2O5_0p2012-La(OH)3_0p5004-MnCO3_0p3013--8min.xrdml,V2O5_0p2012-La(OH)3_0p5004-MnCO3_0p3013--8min.xrdml,dataset,C;H;La;Mn;O;V,6
dataset/precursor_mixture/V2O5_0p2013-La(OH)3_0p5000-ZrO2_0p3001--2min.xrdml,V2O5_0p2013-La(OH)3_0p5000-ZrO2_0p3001--2min.xrdml,dataset,H;La;O;V;Zr,5
dataset/precursor_mixture/V2O5_0p2013-La(OH)3_0p5000-ZrO2_0p3001--8min.xrdml,V2O5_0p2013-La(OH)3_0p5000-ZrO2_0p3001--8min.xrdml,dataset,H;La;O;V;Zr,5
dataset/precursor_mixture/V2O5_0p3005-NiO_0p4020-TiO2_0p3020--2min.xrdml,V2O5_0p3005-NiO_0p4020-TiO2_0p3020--2min.xrdml,dataset,Ni;O;Ti;V,4
dataset/precursor_mixture/V2O5_0p3005-NiO_0p4020-TiO2_0p3020--8min.xrdml,V2O5_0p3005-NiO_0p4020-TiO2_0p3020--8min.xrdml,dataset,Ni;O;Ti;V,4
dataset/precursor_mixture/V2O5_0p3015-TiO2_0p6998--2min.xrdml,V2O5_0p3015-TiO2_0p6998--2min.xrdml,dataset,O;Ti;V,3
dataset/precursor_mixture/V2O5_0p3015-TiO2_0p6998--8min.xrdml,V2O5_0p3015-TiO2_0p6998--8min.xrdml,dataset,O;Ti;V,3
dataset/precursor_mixture/V2O5_0p4005-NiO_0p6016--2min.xrdml,V2O5_0p4005-NiO_0p6016--2min.xrdml,dataset,Ni;O;V,3
dataset/precursor_mixture/V2O5_0p4005-NiO_0p6016--8min.xrdml,V2O5_0p4005-NiO_0p6016--8min.xrdml,dataset,Ni;O;V,3
dataset/precursor_mixture/V2O5_0p4013-In2O3_0p4021-La(OH)3_0p2014--2min.xrdml,V2O5_0p4013-In2O3_0p4021-La(OH)3_0p2014--2min.xrdml,dataset,H;In;La;O;V,5
dataset/precursor_mixture/V2O5_0p4013-In2O3_0p4021-La(OH)3_0p2014--8min.xrdml,V2O5_0p4013-In2O3_0p4021-La(OH)3_0p2014--8min.xrdml,dataset,H;In;La;O;V,5
dataset/precursor_mixture/V2O5_0p6008-ZnO_0p4010--2min.xrdml,V2O5_0p6008-ZnO_0p4010--2min.xrdml,dataset,O;V;Zn,3
dataset/precursor_mixture/V2O5_0p6008-ZnO_0p4010--8min.xrdml,V2O5_0p6008-ZnO_0p4010--8min.xrdml,dataset,O;V;Zn,3
dataset/precursor_mixture/V2O5_0p7006-MnCO3_0p3001--2min.xrdml,V2O5_0p7006-MnCO3_0p3001--2min.xrdml,dataset,C;Mn;O;V,4
dataset/precursor_mixture/V2O5_0p7006-MnCO3_0p3001--8min.xrdml,V2O5_0p7006-MnCO3_0p3001--8min.xrdml,dataset,C;Mn;O;V,4
dataset/precursor_mixture/V2O5_0p8011-ZrO2_0p2012--2min.xrdml,V2O5_0p8011-ZrO2_0p2012--2min.xrdml,dataset,O;V;Zr,3
dataset/precursor_mixture/V2O5_0p8011-ZrO2_0p2012--8min.xrdml,V2O5_0p8011-ZrO2_0p2012--8min.xrdml,dataset,O;V;Zr,3
